customer_id,city,customer_segment,battery_capacity_kwh,home_charging_access,preferred_station_type,base_sessions_per_month,peak_preference_score,price_sensitivity_score,convenience_score,station_loyalty_score,baseline_avg_session_kwh,incentive_response_score
CUST00061,Mumbai,Routine_Commuter,51.7,1,Transit_Public,12,0.752,0.433,0.737,0.656,28.4,0.418
CUST00062,Mumbai,Routine_Commuter,46.1,1,Office_Commercial,12,0.488,0.477,0.646,0.697,13.8,0.427
CUST00063,Mumbai,High_Mileage,52.7,0,Highway,15,0.604,0.636,0.724,0.909,21.4,0.479
CUST00064,Delhi NCR,Routine_Commuter,64.7,1,Highway,10,0.79,0.565,0.576,0.741,27.1,0.513
CUST00065,Hyderabad,Routine_Commuter,50.8,1,Mall_Retail,14,0.71,0.281,0.486,0.778,18.4,0.362
CUST00066,Chennai,Routine_Commuter,53.7,1,Residential,13,0.762,0.854,0.73,0.767,27.9,0.635
CUST00067,Kolkata,Convenience_First,73.5,0,Office_Commercial,7,0.775,0.206,0.822,0.879,29.4,0.245
CUST00068,Ahmedabad,High_Mileage,60.8,0,Fleet,22,0.464,0.578,0.485,0.783,24.4,0.5
CUST00069,Bengaluru,Routine_Commuter,53.2,1,Office_Commercial,9,0.846,0.383,0.571,0.787,17.9,0.413
CUST00070,Ahmedabad,Price_Sensitive,42.8,1,Office_Commercial,8,0.305,0.664,0.583,0.494,10.2,0.555
CUST00071,Hyderabad,Convenience_First,49.9,1,Highway,10,0.952,0.278,0.921,0.686,20.2,0.311
CUST00072,Pune,Routine_Commuter,63.0,1,Residential,12,0.813,0.633,0.486,0.45,17.1,0.615
CUST00073,Ahmedabad,Convenience_First,60.1,0,Residential,6,0.982,0.302,0.83,0.711,33.8,0.341
CUST00074,Delhi NCR,Convenience_First,65.7,1,Highway,10,0.897,0.314,0.895,0.925,29.4,0.295
CUST00075,Delhi NCR,Routine_Commuter,65.9,1,Office_Commercial,8,0.653,0.341,0.882,0.927,28.7,0.287
CUST00076,Kolkata,Routine_Commuter,69.4,1,Office_Commercial,14,0.727,0.338,0.674,0.71,30.5,0.367
CUST00077,Mumbai,Price_Sensitive,56.6,0,Mall_Retail,8,0.327,0.805,0.368,0.35,28.3,0.699
CUST00078,Chandigarh,Convenience_First,63.4,0,Office_Commercial,8,0.824,0.165,0.773,0.834,26.0,0.244
CUST00079,Pune,Price_Sensitive,47.5,0,Office_Commercial,12,0.535,0.8,0.393,0.59,20.9,0.676
CUST00080,Bengaluru,High_Mileage,51.4,0,Highway,16,0.513,0.867,0.612,0.691,21.1,0.652
CUST00081,Lucknow,Convenience_First,53.2,1,Highway,10,0.856,0.406,0.77,0.762,30.2,0.391
CUST00082,Ahmedabad,High_Mileage,73.7,0,Highway,23,0.585,0.908,0.73,0.87,26.8,0.631
CUST00083,Jaipur,High_Mileage,70.1,0,Fleet,18,0.511,0.798,0.743,0.882,33.2,0.559
CUST00084,Chennai,Routine_Commuter,44.3,1,Residential,9,0.713,0.532,0.597,0.82,18.4,0.471
CUST00085,Ahmedabad,Price_Sensitive,51.9,0,Highway,6,0.616,0.826,0.196,0.237,22.7,0.791
CUST00086,Pune,High_Mileage,65.7,1,Mall_Retail,18,0.416,0.538,0.772,0.96,23.2,0.389
CUST00087,Hyderabad,Routine_Commuter,48.1,1,Residential,13,0.725,0.476,0.806,0.639,20.6,0.427
CUST00088,Lucknow,Routine_Commuter,55.6,0,Office_Commercial,10,0.645,0.808,0.653,0.567,25.1,0.644
CUST00089,Delhi NCR,Routine_Commuter,65.9,1,Hotel,10,0.838,0.682,0.852,0.784,28.3,0.521
CUST00090,Lucknow,Price_Sensitive,52.7,1,Fleet,7,0.801,0.803,0.542,0.513,27.0,0.686
CUST00091,Pune,Routine_Commuter,61.9,1,Residential,9,0.791,0.359,0.669,0.833,32.0,0.368
CUST00092,Delhi NCR,Price_Sensitive,36.5,1,Hotel,12,0.554,0.527,0.537,0.01,11.9,0.586
CUST00093,Ahmedabad,Routine_Commuter,67.9,1,Residential,9,0.662,0.834,0.68,0.769,28.3,0.624
CUST00094,Pune,Routine_Commuter,54.2,1,Hotel,14,0.631,0.649,0.684,0.686,18.4,0.531
CUST00095,Kolkata,Price_Sensitive,38.2,0,Highway,9,0.434,0.678,0.547,0.624,18.0,0.564
CUST00096,Delhi NCR,Convenience_First,76.1,0,Mall_Retail,6,0.793,0.202,0.93,0.948,34.1,0.212
CUST00097,Kolkata,Price_Sensitive,48.3,1,Mall_Retail,9,0.521,0.902,0.471,0.433,22.9,0.739
CUST00098,Kochi,Convenience_First,45.1,1,Residential,7,0.854,0.127,0.975,0.75,19.1,0.197
CUST00099,Chennai,Routine_Commuter,59.9,0,Residential,11,0.794,0.568,0.718,0.769,25.3,0.483
CUST00100,Kochi,Routine_Commuter,50.8,0,Residential,12,0.863,0.548,0.62,0.778,19.1,0.497
CUST00101,Pune,Convenience_First,53.1,0,Fleet,9,0.734,0.347,0.916,0.81,18.3,0.31
CUST00102,Pune,Convenience_First,73.2,0,Mall_Retail,6,0.802,0.261,0.99,0.662,31.5,0.276
CUST00103,Jaipur,Price_Sensitive,51.5,0,Highway,6,0.733,0.774,0.65,0.447,21.3,0.652
CUST00104,Lucknow,Routine_Commuter,65.6,1,Hotel,10,0.692,0.297,0.57,0.747,35.1,0.356
CUST00105,Bengaluru,Routine_Commuter,43.8,1,Residential,12,0.772,0.529,0.693,0.671,16.3,0.479
CUST00106,Hyderabad,Convenience_First,64.5,0,Mall_Retail,9,0.836,0.184,0.958,0.958,32.9,0.2
CUST00107,Delhi NCR,Routine_Commuter,48.6,1,Mall_Retail,14,0.782,0.366,0.764,0.557,19.4,0.393
CUST00108,Hyderabad,Convenience_First,63.2,1,Highway,7,0.829,0.258,0.951,0.764,26.5,0.27
CUST00109,Delhi NCR,Convenience_First,57.8,0,Office_Commercial,5,0.803,0.223,0.99,0.79,21.1,0.236
CUST00110,Bengaluru,Routine_Commuter,55.0,1,Residential,14,0.875,0.529,0.684,0.709,14.3,0.485
CUST00111,Chandigarh,Convenience_First,69.3,0,Highway,5,0.882,0.297,0.829,0.902,26.0,0.301
CUST00112,Delhi NCR,Routine_Commuter,45.5,0,Office_Commercial,10,0.72,0.726,0.386,0.55,13.6,0.662
CUST00113,Jaipur,Price_Sensitive,41.7,1,Office_Commercial,8,0.893,0.99,0.418,0.492,17.2,0.826
CUST00114,Mumbai,Price_Sensitive,59.7,0,Mall_Retail,9,0.524,0.857,0.543,0.339,25.0,0.714
CUST00115,Chandigarh,Convenience_First,69.1,1,Highway,10,0.853,0.311,0.849,0.953,39.8,0.294
CUST00116,Chandigarh,Convenience_First,63.8,1,Transit_Public,10,0.954,0.144,0.754,0.751,23.3,0.261
CUST00117,Delhi NCR,Routine_Commuter,53.5,1,Office_Commercial,8,0.99,0.562,0.786,0.661,14.7,0.501
CUST00118,Kochi,Routine_Commuter,61.3,1,Residential,14,0.879,0.514,0.835,0.769,29.3,0.438
CUST00119,Pune,Price_Sensitive,52.8,0,Mall_Retail,11,0.591,0.765,0.312,0.361,24.6,0.713
CUST00120,Chandigarh,Routine_Commuter,63.4,1,Hotel,10,0.873,0.38,0.882,0.656,17.4,0.371
CUST00121,Delhi NCR,Routine_Commuter,49.2,1,Residential,10,0.836,0.732,0.584,0.756,27.5,0.606
CUST00122,Bengaluru,Convenience_First,59.0,0,Fleet,6,0.829,0.33,0.824,0.795,27.8,0.33
CUST00123,Kolkata,Routine_Commuter,55.2,0,Residential,12,0.894,0.468,0.725,0.645,22.2,0.455
CUST00124,Lucknow,Convenience_First,48.1,0,Mall_Retail,5,0.639,0.33,0.865,0.825,23.4,0.298
CUST00125,Chennai,Routine_Commuter,42.4,1,Residential,13,0.673,0.222,0.711,0.821,18.0,0.274
CUST00126,Delhi NCR,Routine_Commuter,47.0,1,Residential,13,0.794,0.626,0.65,0.422,18.4,0.58
CUST00127,Bengaluru,Convenience_First,58.2,0,Residential,10,0.759,0.29,0.905,0.984,20.9,0.257
CUST00128,Kolkata,Routine_Commuter,42.3,1,Office_Commercial,11,0.532,0.552,0.796,0.755,11.4,0.434
CUST00129,Bengaluru,High_Mileage,76.6,0,Highway,25,0.618,0.734,0.945,0.897,34.8,0.492
CUST00130,Ahmedabad,Price_Sensitive,60.2,0,Mall_Retail,12,0.335,0.99,0.529,0.433,28.0,0.757
CUST00131,Mumbai,Routine_Commuter,50.9,1,Residential,14,0.807,0.788,0.736,0.675,25.1,0.616
CUST00132,Pune,Routine_Commuter,65.0,0,Transit_Public,11,0.674,0.573,0.545,0.879,31.6,0.492
CUST00133,Mumbai,High_Mileage,72.9,0,Highway,17,0.577,0.727,0.801,0.874,28.8,0.516
CUST00134,Delhi NCR,Routine_Commuter,47.7,0,Residential,14,0.731,0.695,0.55,0.76,18.0,0.581
CUST00135,Bengaluru,Routine_Commuter,43.7,1,Office_Commercial,8,0.943,0.604,0.658,0.789,16.6,0.527
CUST00136,Chandigarh,Price_Sensitive,48.2,0,Highway,7,0.541,0.885,0.479,0.632,25.1,0.7
CUST00137,Delhi NCR,Routine_Commuter,53.3,1,Office_Commercial,8,0.988,0.659,0.797,0.723,23.1,0.544
CUST00138,Kolkata,Price_Sensitive,43.6,1,Residential,9,0.647,0.885,0.592,0.507,19.2,0.707
CUST00139,Hyderabad,Price_Sensitive,55.2,1,Residential,11,0.027,0.695,0.648,0.444,24.5,0.539
CUST00140,Pune,Price_Sensitive,51.1,0,Office_Commercial,10,0.451,0.761,0.431,0.632,21.0,0.632
CUST00141,Mumbai,Price_Sensitive,44.3,0,Residential,10,0.786,0.856,0.624,0.434,14.1,0.709
CUST00142,Hyderabad,Routine_Commuter,36.9,0,Office_Commercial,10,0.508,0.535,0.815,0.718,21.7,0.424
CUST00143,Pune,Routine_Commuter,57.6,1,Residential,9,0.925,0.583,0.748,0.734,17.9,0.504
CUST00144,Bengaluru,Routine_Commuter,52.2,1,Mall_Retail,12,0.646,0.517,0.605,0.591,17.1,0.489
CUST00145,Mumbai,Price_Sensitive,50.1,1,Transit_Public,8,0.409,0.758,0.679,0.603,29.0,0.581
CUST00146,Chennai,Routine_Commuter,56.7,0,Residential,10,0.786,0.645,0.44,0.518,22.4,0.618
CUST00147,Mumbai,High_Mileage,80.8,1,Highway,23,0.195,0.65,0.719,0.826,37.9,0.459
CUST00148,Delhi NCR,Price_Sensitive,58.7,0,Fleet,6,0.657,0.704,0.781,0.396,31.8,0.587
CUST00149,Mumbai,Routine_Commuter,40.8,1,Office_Commercial,14,0.748,0.505,0.844,0.692,12.0,0.43
CUST00150,Ahmedabad,High_Mileage,77.7,0,Fleet,21,0.529,0.501,0.671,0.802,30.2,0.424
CUST00151,Bengaluru,Convenience_First,61.5,0,Mall_Retail,5,0.717,0.156,0.809,0.684,24.7,0.243
CUST00152,Lucknow,Routine_Commuter,37.3,1,Office_Commercial,11,0.546,0.343,0.684,0.843,15.2,0.33
CUST00153,Mumbai,Routine_Commuter,47.1,1,Transit_Public,11,0.706,0.293,0.399,0.833,19.1,0.377
CUST00154,Kolkata,High_Mileage,59.3,0,Fleet,19,0.643,0.722,0.766,0.986,30.9,0.51
CUST00155,Chandigarh,Routine_Commuter,51.9,1,Office_Commercial,12,0.883,0.591,0.703,0.694,22.1,0.519
CUST00156,Pune,Price_Sensitive,57.2,0,Transit_Public,7,0.966,0.642,0.529,0.428,29.4,0.63
CUST00157,Pune,Convenience_First,49.0,0,Highway,5,0.609,0.409,0.89,0.908,21.7,0.322
CUST00158,Pune,Convenience_First,64.5,0,Mall_Retail,8,0.908,0.251,0.844,0.653,30.4,0.312
CUST00159,Chandigarh,Price_Sensitive,47.4,0,Transit_Public,11,0.481,0.937,0.453,0.439,19.0,0.757
CUST00160,Chandigarh,Convenience_First,50.1,0,Office_Commercial,6,0.662,0.325,0.87,0.99,25.8,0.272
CUST00161,Bengaluru,Price_Sensitive,37.6,1,Transit_Public,9,0.5,0.848,0.375,0.536,10.9,0.711
CUST00162,Jaipur,Convenience_First,55.2,0,Highway,10,0.755,0.222,0.74,0.697,26.0,0.295
CUST00163,Mumbai,Routine_Commuter,43.9,0,Office_Commercial,9,0.703,0.642,0.616,0.531,19.9,0.571
CUST00164,Lucknow,Routine_Commuter,56.1,0,Residential,13,0.511,0.549,0.545,0.661,32.1,0.495
CUST00165,Delhi NCR,Price_Sensitive,57.8,0,Hotel,6,0.664,0.804,0.393,0.186,21.6,0.752
CUST00166,Chennai,Routine_Commuter,70.4,1,Office_Commercial,8,0.559,0.667,0.512,0.64,24.3,0.574
CUST00167,Jaipur,Convenience_First,47.0,1,Office_Commercial,7,0.823,0.241,0.858,0.779,19.0,0.277
CUST00168,Mumbai,Routine_Commuter,60.4,0,Office_Commercial,11,0.673,0.727,0.741,0.563,26.9,0.585
CUST00169,Chennai,Routine_Commuter,63.8,1,Residential,10,0.627,0.433,0.601,0.652,21.5,0.433
CUST00170,Bengaluru,Convenience_First,58.7,1,Highway,8,0.75,0.187,0.775,0.695,20.3,0.269
CUST00171,Lucknow,Routine_Commuter,68.6,0,Residential,8,0.683,0.457,0.689,0.565,30.0,0.447
CUST00172,Jaipur,Convenience_First,66.2,0,Fleet,8,0.893,0.26,0.665,0.702,19.4,0.344
CUST00173,Bengaluru,Routine_Commuter,40.2,1,Office_Commercial,12,0.521,0.519,0.713,0.684,15.1,0.442
CUST00174,Bengaluru,Price_Sensitive,35.0,0,Residential,6,0.571,0.79,0.419,0.565,14.8,0.673
CUST00175,Mumbai,High_Mileage,65.4,0,Highway,23,0.304,0.716,0.739,0.874,26.1,0.495
CUST00176,Mumbai,High_Mileage,78.6,0,Hotel,25,0.751,0.764,0.643,0.914,31.6,0.579
CUST00177,Mumbai,Routine_Commuter,56.8,0,Office_Commercial,10,0.586,0.578,0.749,0.731,21.2,0.467
CUST00178,Bengaluru,Routine_Commuter,46.1,1,Office_Commercial,10,0.54,0.337,0.435,0.724,17.0,0.393
CUST00179,Kochi,Routine_Commuter,63.3,1,Residential,8,0.801,0.587,0.597,0.7,21.1,0.528
CUST00180,Bengaluru,Convenience_First,56.7,1,Highway,5,0.846,0.266,0.843,0.868,21.3,0.282
CUST00181,Kolkata,Price_Sensitive,64.8,1,Office_Commercial,11,0.33,0.637,0.589,0.839,24.9,0.49
CUST00182,Ahmedabad,Price_Sensitive,56.9,1,Residential,7,0.543,0.714,0.51,0.3,18.7,0.65
CUST00183,Chennai,Routine_Commuter,46.4,1,Hotel,11,0.65,0.303,0.734,0.666,19.0,0.335
CUST00184,Pune,High_Mileage,62.2,0,Fleet,25,0.585,0.699,0.688,0.895,11.6,0.521
CUST00185,Kochi,Price_Sensitive,42.2,0,Residential,10,0.401,0.923,0.432,0.315,17.5,0.764
CUST00186,Chennai,High_Mileage,66.0,0,Office_Commercial,23,0.438,0.793,0.821,0.722,20.6,0.557
CUST00187,Mumbai,Routine_Commuter,55.8,0,Office_Commercial,8,0.581,0.425,0.584,0.567,15.4,0.44
CUST00188,Kolkata,Routine_Commuter,40.8,0,Residential,12,0.615,0.8,0.687,0.749,13.8,0.602
CUST00189,Delhi NCR,High_Mileage,67.3,0,Fleet,17,0.54,0.604,0.758,0.809,29.5,0.463
CUST00190,Bengaluru,Price_Sensitive,67.3,1,Transit_Public,7,0.627,0.796,0.434,0.567,18.1,0.679
CUST00191,Ahmedabad,Routine_Commuter,53.0,1,Residential,9,0.779,0.544,0.613,0.724,19.0,0.496
CUST00192,Delhi NCR,Routine_Commuter,55.7,1,Mall_Retail,12,0.767,0.596,0.708,0.836,23.0,0.488
CUST00193,Pune,High_Mileage,56.0,1,Highway,16,0.517,0.593,0.788,0.88,28.8,0.438
CUST00194,Chennai,Price_Sensitive,53.4,0,Mall_Retail,12,0.784,0.886,0.478,0.804,24.9,0.699
CUST00195,Pune,Price_Sensitive,38.8,0,Office_Commercial,6,0.374,0.833,0.47,0.337,14.8,0.701
CUST00196,Pune,Routine_Commuter,51.3,1,Mall_Retail,9,0.799,0.464,0.694,0.808,22.8,0.425
CUST00197,Delhi NCR,Routine_Commuter,60.3,0,Office_Commercial,9,0.95,0.413,0.515,0.601,29.0,0.479
CUST00198,Hyderabad,Routine_Commuter,40.5,0,Mall_Retail,9,0.99,0.571,0.75,0.661,12.3,0.514
CUST00199,Delhi NCR,Routine_Commuter,54.7,1,Office_Commercial,8,0.766,0.477,0.659,0.836,16.8,0.432
CUST00200,Chennai,Routine_Commuter,37.8,1,Office_Commercial,14,0.727,0.34,0.676,0.726,17.0,0.366
CUST00201,Chandigarh,Convenience_First,54.3,0,Transit_Public,5,0.912,0.328,0.852,0.753,23.4,0.338
CUST00202,Delhi NCR,Convenience_First,73.9,0,Highway,9,0.891,0.337,0.796,0.619,26.8,0.372
CUST00203,Ahmedabad,Convenience_First,61.9,1,Mall_Retail,10,0.774,0.39,0.776,0.72,27.0,0.379
CUST00204,Delhi NCR,Price_Sensitive,57.0,0,Office_Commercial,8,0.51,0.831,0.512,0.674,24.2,0.654
CUST00205,Hyderabad,Routine_Commuter,55.8,0,Highway,12,0.985,0.447,0.731,0.848,19.9,0.421
CUST00206,Bengaluru,Price_Sensitive,49.0,1,Residential,12,0.635,0.852,0.669,0.535,17.8,0.668
CUST00207,Ahmedabad,Price_Sensitive,58.6,0,Highway,8,0.65,0.784,0.499,0.54,27.4,0.665
CUST00208,Chennai,Price_Sensitive,63.7,0,Hotel,6,0.608,0.746,0.402,0.399,33.1,0.681
CUST00209,Bengaluru,High_Mileage,67.0,0,Fleet,18,0.477,0.6,0.646,0.774,30.7,0.482
CUST00210,Bengaluru,Routine_Commuter,47.0,0,Transit_Public,9,0.675,0.817,0.708,0.497,19.3,0.651
CUST00211,Chennai,Routine_Commuter,55.3,1,Office_Commercial,12,0.786,0.622,0.568,0.6,23.3,0.567
CUST00212,Delhi NCR,Routine_Commuter,63.6,1,Hotel,10,0.655,0.495,0.691,0.793,29.0,0.431
CUST00213,Ahmedabad,Price_Sensitive,44.2,0,Residential,6,0.626,0.918,0.674,0.835,16.3,0.658
CUST00214,Mumbai,Price_Sensitive,54.1,0,Mall_Retail,6,0.377,0.829,0.361,0.374,32.2,0.715
CUST00215,Kochi,Price_Sensitive,42.6,0,Mall_Retail,9,0.328,0.691,0.717,0.402,16.9,0.559
CUST00216,Pune,Convenience_First,45.8,1,Highway,10,0.695,0.344,0.899,0.738,23.5,0.318
CUST00217,Pune,Convenience_First,63.0,0,Transit_Public,8,0.881,0.012,0.943,0.682,14.5,0.154
CUST00218,Bengaluru,Routine_Commuter,53.3,1,Hotel,11,0.697,0.587,0.775,0.793,24.2,0.469
CUST00219,Bengaluru,Price_Sensitive,69.0,0,Residential,6,0.645,0.833,0.02,0.346,29.0,0.817
CUST00220,Mumbai,Routine_Commuter,62.8,1,Office_Commercial,12,0.775,0.571,0.764,0.99,32.1,0.44
CUST00221,Lucknow,Routine_Commuter,50.9,1,Transit_Public,10,0.86,0.65,0.989,0.63,10.1,0.501
CUST00222,Jaipur,Price_Sensitive,54.4,0,Mall_Retail,6,0.421,0.99,0.482,0.757,28.8,0.727
CUST00223,Mumbai,Convenience_First,57.6,1,Mall_Retail,6,0.853,0.221,0.892,0.99,24.2,0.23
CUST00224,Delhi NCR,Routine_Commuter,47.8,1,Office_Commercial,11,0.454,0.726,0.7,0.84,19.9,0.528
CUST00225,Ahmedabad,Convenience_First,73.3,0,Highway,7,0.99,0.333,0.944,0.884,35.6,0.311
CUST00226,Pune,Routine_Commuter,60.0,0,Transit_Public,13,0.637,0.73,0.77,0.798,19.5,0.542
CUST00227,Chennai,Price_Sensitive,43.0,0,Residential,9,0.552,0.941,0.716,0.801,23.2,0.659
CUST00228,Chandigarh,Price_Sensitive,51.0,1,Hotel,8,0.359,0.899,0.315,0.512,11.5,0.741
CUST00229,Bengaluru,Convenience_First,46.2,0,Fleet,7,0.824,0.241,0.838,0.879,13.5,0.266
CUST00230,Kolkata,Price_Sensitive,54.8,0,Residential,8,0.493,0.624,0.586,0.284,21.1,0.583
CUST00231,Delhi NCR,Price_Sensitive,45.7,0,Residential,11,0.594,0.775,0.627,0.595,13.2,0.621
CUST00232,Chennai,Price_Sensitive,36.7,0,Highway,10,0.12,0.766,0.345,0.802,19.4,0.594
CUST00233,Jaipur,Routine_Commuter,67.4,1,Office_Commercial,10,0.794,0.194,0.457,0.686,39.7,0.342
CUST00234,Pune,Price_Sensitive,52.9,0,Highway,6,0.792,0.668,0.634,0.387,18.1,0.612
CUST00235,Delhi NCR,Routine_Commuter,60.9,1,Office_Commercial,13,0.704,0.53,0.749,0.603,23.4,0.472
